WOD code,NODC code,Platform Name
7778,90UW,11TH PJATILETKA
6572,90TU,1500 LET KIYEVU (F/V;c.s.LYFB;built 1982;r-ed Polessk 1999 c.s.UGXQ;IMO8036172)
9520,RU17,17-PROFSOUZ
9320,90H3,40 LET POBEDY (F/V; built 06.1985; Taganrog) 
7083,905P,60 LET VLKSM (F/V; call sign EWYB; built 1978; IMO 7740776; Zapryba) 
5610,68AB,A. ALBUQUERQUE
2422,3133,A. C. COCKRELL
189,06AF,A. FREYMANN
1363,31AM,A. J. MEYER
191,06AH,A. LEONHARDT 
6490,90OT,A. OTKUPTSCHIKOV
789,18AK,A. P. KNIGHT (F/V;comm-d 1927;decomm-d 1974) 
1078,20PN,A. PINTO
3091,32MS,A. SGT. MILLER
6540,90SI,A. SIBIRYAKOV (UBMU) 
798,18AT,A. T. CAMERON (R/V;c.s.CGDB;b.10.1958;decc-d 1984;became Arctic Discoverer 1988)
2396,313D,A. T. HARRIS 
6227,77CB,A. TISELIUS (SDBF)
1674,31JA,A.A. JAKKULA 
2562,3171,A.E. VERRILL 
6935,9019,A.I. VOEYKOV (R/V; call sign UAAX; built 1958;IMO5010244;Vladivostok)
2259,31ZJ,A.M.SUMNER
460,07AL,A.V.HUMBOLDT 
9999,06VH,A.V.HUMBOLDT (R/V;c.s.Y3CW;comm-d 1990;decomm-d 2004;IMO6711883)
6312,90AX,ABAKAN (Tanker; call sign USIL; built 1967; IMO6622355)
8014,20AI,ABATE MOLINA 
1889,31O9,ABBOT
9664,315P,ABEL-J (Polar Icebreaker; built 1992)
6311,90AW,ABKHAZIYA
1367,31AQ,ABNAKI
3960,338Y,ABR-10
7295,909Z,ABREK
1376,31AZ,ABSECON (Call Sign WC5071)
4538,49AB,ABUKUMA (Call sign JNZT; built 01.1976; IMO7527708)
10168,49QA,ABUKUMA (Call sign JPHK; active 09.1951 - 01.1976)
787,18AI,ACADIA
3612,321N,ACADIA (AD-42)
10013,33SZ,ACADIANA (R/V;operated by Louisiana Universities Marine Consortium (LUMCON)) 
3601,321B,ACANIA
7413,29AC,ACARTIA
5640,74AH,ACHERON
7157,907S,ACHILLES
51,GHAC,ACHIMOTA
1353,31AC,ACONA
247,06CX,ACT 10 (Cont.ship; built 1986;new name KARAMAN c.s.DILM 1988-1993;IMO8516603)
168,TNAA,ACT 12 (A3B2)
5642,74AJ,ACT 3 (Cont.s.;c.s.GZKA;built 1971;ren-d AMERICA STAR c.s.C6JZ2 1991;IMO7052909)
5650,74AQ,ACT 4 (Cont.s;c.s.GOVL;built 1971;ren-d MELBOURNE STAR c.s.C6JY6 1992;IMO7108162
5653,74AS,ACT 6 (C.s.C6JZ3;comm-d 12.1972;ren-d Queensland Star 01.1992;IMO7226275)
10,BHAC,ACT-10(C6HL8)
8493,06AT,ACTION (CallSign DLHV container ship)
2423,3134,ACTIVE
6095,745A,ACTIVE (F-171)
8762,74GZ,ACTIVE (STEAM SHIP Active date: 1852 to 1915)
7359,SADD,ADDIRIYAH
9455,06SZ,ADELAIDE EXPRESS (Call sign DHSN; built 05.1998; ex Classica 2006; IMO9143245)
9742,36A1,ADELAIS (Small boat) 
5303,58AL,ADELER (Call sign LK4080;built 1990;Length 16;renamed Nils C.P.Aure 06.1996) 
9165,90B1,ADELGUNDA
7756,90UQ,ADJARIA
6994,903E,ADLER
2671,32A1,ADMIRABLE
5587,67AA,ADMIRAL ARCISZEWSKI (Call Sign SQHZ) 
10503,9007,ADMIRAL KORNILOV (Cruiser of the Russian Imperial Navy;b.1887;decomm-d 1911) 
4053,35AM,ADMIRAL MOUCHEZ (F752; call sign FAMO; commissioned 1936; Naval vessel)
7444,90FH,ADMIRAL VLADIMIRSKIY (R/V; built 1975)
1184,26AJ,ADOLF JENSEN (R/V;call sign OVOZ;built 1967;IMO6708575)\0
2672,32A2,ADRIA (Call Sign IWVN)
2647,32AD,ADVANCE II
9660,32QQ,ADVENTUROUS (Built 1988;renamed Oscar Elton Sette(NOAA ship) 2003)
9628,36AE,AEGAEO (R/V;call sign SXYY;built 12.1985;ex.AEGAIO 10.1994;IMO8412429)
4448,46AE,AEGIR (Call sign TFEA;built 1929;comm-d 02.1935;decomm-d 06.1967;Naval vessel)
9743,36A2,AEGLI (Small boat)
6939,90A8,AELITA (F/V; call sign UMOY; built 1967; IMO6927224) 
1355,31AE,AEOLUS
6634,902D,AFELIY (F/V; call sign UKYW; built 07.1985; new call sign UALQ;IMO8423155)
2646,32AC,AFRICAN COMET
2281,31Z6,AFRICAN CRESCENT
2326,311F,AFRICAN LIGHTING
2649,32AF,AFRICAN METEOR
1553,31FW,AFRICAN RAINBOW
2645,32AB,AFRICAN STAR 
10368,91AG,AFRICANA (F/R/V;call sign ZUAB;built 1982;flag South Africa;IMO7905405)
6655,91AE,AFRICANA I
6656,91AF,AFRICANA II
6902,CYAP,AFRIS PIONEER
1315,29AM,AGAMENON
8906,58CQ,AGATHA (active 1894-1895)
9278,26A3,AGDLEK (Y386; arctic patrol cutter; call sign OUGV; active 03.1974-04.2008)
1583,31GQ,AGERHOLM
9277,26A2,AGPA (Y387; arctic patrol cutter; call sign OUGY; active 05.1974-03.2009)
5143,491A,AGS NO 1 (Call sign JSSK; active 03.1974 - 03.1982)
5160,492A,AGS NO 2 (Call sign JSUL; active 03.1975 - 09.1982)
5168,493A,AGS NO 3 (Call sign JSUX; active 03.1976 - 03.1984)
5169,494A,AGS NO 4 (Call sign JSVI; active 03.1976 - 03.1985)
5170,495A,AGS NO 5 (Call sign JSRL; active 04.1978 - 03.1986)
3770,326A,AHRENS
5144,491B,AICHI MARU
10142,49VX,AICHI MARU (F/V; call sign 7JBV; built 03.2007; IMO9415545)
8193,331L,AIDE DE CAMP 
4049,35AI,AILETTE (Call Sign FUZB; Built 1982) 
2651,32AH,AINWORTH
7815,49RH,AIOI MARU NO 5 (Call sign JHVS; built 01.1955)
1053,1891,AIRCRAFT
1287,2691,AIRCRAFT
2635,3191,AIRCRAFT
5178,4991,AIRCRAFT
6876,7491,AIRCRAFT
183,ZZ91,AIRPLANE
6297,90AI,AISBERG
4776,49I5,AISEI MARU NO.5
3976,34AX,AJAXBANK L/V 
6299,90AK,AKADEMIK A. KOVALEVSKIY (R/V; call sign UEWJ; built 1949; IMO6850366)
7792,90WG,AKADEMIK ALEKSANDR KARPINSKIY (R/V; c.s.UJGN;new c.s.UIZO;built 1984;IMO8227238)
6332,90BM,AKADEMIK ALEKSANDR NESMEYANOV (R/V; call sign UBYK; built 04.1982;IMO7826300)
9510,90H6,AKADEMIK ALEKSANDR SIDORENKO (R/V;c.s.UEQL;built 1985;former c.s.UYTS;IMO8330231
6333,90BN,AKADEMIK ALEKSANDR VINOGRADOV (R/V;c.s.UYEV;new c.s.UABE;built 1983;IMO7826312)
6303,90AO,AKADEMIK ALEKSEY KRYLOV (HWA)
